Collision ID;Date;Time;Borough;Street Name;Cross Street;Latitude;Longitude;Contributing Factor;Vehicle Type;Persons Injured;Persons Killed;Pedestrians Injured;Pedestrians Killed;Cyclists Injured;Cyclists Killed;Motorists Injured;Motorists Killed
4594905;01/01/2023;12:00:00;Brooklyn;Ross Street;;4070669;-7395884;Passing or Lane Usage Improper;Passenger Vehicle;0;0;0;0;0;0;0;0
4594820;01/01/2023;08:45:00;Bronx;Major Deegan Expressway;;40828114;-7393107;Reaction to Uninvolved Vehicle;Passenger Vehicle;0;0;0;0;0;0;0;0
4594347;01/01/2023;01:20:00;Manhattan;1 Avenue;East 58 Street;4075898;-7396244;Other Vehicular;Bicycle;1;0;0;0;1;0;0;0
4594605;01/01/2023;16:45:00;Queens;108 Street;;4067907;-7383154;Failure to Yield Right-of-Way;Passenger Vehicle;1;0;1;0;0;0;0;0
4594367;01/01/2023;00:10:00;Brooklyn;Flatlands Avenue;East 86 Street;4063835;-7390889;Driver Inattention/Distraction;Not Reported;1;0;1;0;0;0;0;0
4594583;01/01/2023;14:53:00;Brooklyn;Atkins Avenue;Cozine Avenue;40660797;-7387183;Failure to Yield Right-of-Way;Passenger Vehicle;2;0;0;0;0;0;2;0
4594821;01/01/2023;13:10:00;Bronx;Woodycrest Avenue;;4083129;-7392904;Failure to Yield Right-of-Way;Passenger Vehicle;4;0;2;0;0;0;2;0
4595133;01/01/2023;14:16:00;;Verrazano Bridge Upper;;;;Unsafe Speed;Passenger Vehicle;1;0;0;0;0;0;1;0
4594701;01/01/2023;15:12:00;Manhattan;Greenwich Street;Vesey Street;4071278;-7401169;Following Too Closely;Taxi;0;0;0;0;0;0;0;0
4595066;01/01/2023;00:00:00;Brooklyn;Lexington Avenue;;4068837;-73944916;Passing Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594765;01/01/2023;03:35:00;Bronx;Bruckner Expressway;;40825935;-7385913;Pavement Slippery;Passenger Vehicle;0;0;0;0;0;0;0;0
4595216;01/01/2023;09:45:00;Bronx;Sedgwick Avenue;;40882645;-73886566;Following Too Closely;Other;0;0;0;0;0;0;0;0
4594497;01/01/2023;12:20:00;;102 Cross Drive;West Drive;;;Pedestrian/Bicyclist/Other Pedestrian Error/Confusion;Bicycle;0;0;0;0;0;0;0;0
4594555;01/01/2023;12:00:00;Queens;Northern Boulevard;Parsons Boulevard;4076465;-73823494;Traffic Control Disregarded;Passenger Vehicle;1;0;0;0;0;0;0;0
4595209;01/01/2023;01:17:00;Queens;110 Street;Jewel Avenue;40724308;-73842575;Alcohol Involvement;Passenger Vehicle;0;0;0;0;0;0;0;0
4594596;01/01/2023;07:15:00;Manhattan;West End Avenue;West 96 Street;4079525;-7397321;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4595141;01/01/2023;01:30:00;Bronx;Claremont Parkway;Crotona Avenue;4083648;-73897736;Unspecified;Passenger Vehicle;6;0;0;0;0;0;6;0
4594472;01/01/2023;08:08:00;Brooklyn;Atlantic Avenue;;40686085;-73982666;Fell Asleep;Passenger Vehicle;0;0;0;0;0;0;0;0
4594464;01/01/2023;06:08:00;Queens;122 Street;;40677242;-7381672;Alcohol Involvement;Passenger Vehicle;0;0;0;0;0;0;0;0
4594937;01/01/2023;08:20:00;Bronx;East 138 Street;Exterior Street;;;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594544;01/01/2023;10:11:00;Queens;161 Street;Sanford Avenue;4076044;-73804924;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594729;01/01/2023;03:00:00;Brooklyn;Beverley Road;East 7 Street;40643456;-73972725;Driver Inattention/Distraction;Passenger Vehicle;2;0;0;0;0;0;2;0
4594589;01/01/2023;10:15:00;Brooklyn;Pennsylvania Avenue;Jamaica Avenue;4067816;-73897484;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594751;01/01/2023;13:38:00;Queens;95 Avenue;98 Street;40687878;-7384476;Unsafe Speed;Passenger Vehicle;0;0;0;0;0;0;0;0
4594414;01/01/2023;05:05:00;Queens;Grand Central Pkwy;;40770706;-7386925;Pavement Slippery;Passenger Vehicle;2;0;0;0;0;0;2;0
4594574;01/01/2023;21:47:00;Brooklyn;86 Street;;4060058;-7399161;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594791;01/01/2023;06:05:00;Bronx;East Tremont Avenue;Webster Avenue;408477;-7390097;Other Vehicular;Taxi;0;0;0;0;0;0;0;0
4594861;01/01/2023;15:30:00;Queens;Northern Boulevard;;40765163;-73819115;Unsafe Speed;Passenger Vehicle;1;0;1;0;0;0;0;0
4594632;01/01/2023;17:29:00;Manhattan;East 81 Street;;40775936;-73957115;Driver Inexperience;Passenger Vehicle;0;0;0;0;0;0;0;0
4595022;01/01/2023;23:16:00;Brooklyn;Surf Avenue;;4057343;-7399175;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594740;01/01/2023;05:01:00;Queens;Eliot Avenue;Mount Olivet Crescent;4071638;-7389751;Alcohol Involvement;Passenger Vehicle;0;0;0;0;0;0;0;0
4594428;01/01/2023;08:49:00;Brooklyn;Irving Avenue;Grove Street;40699265;-7391482;Passing Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594882;01/01/2023;13:53:00;Manhattan;Henry Hudson Parkway;;40775887;-7399137;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594558;01/01/2023;11:05:00;Queens;Clearview Expressway;;4078569;-737872;Passenger Distraction;Passenger Vehicle;2;0;0;0;0;0;2;0
4594915;01/01/2023;14:12:00;;Verrazano Bridge Upper;;;;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594604;01/01/2023;12:39:00;Queens;Dumont Avenue;84 Street;4067249;-7385186;Unsafe Speed;Passenger Vehicle;0;0;0;0;0;0;0;0
4594874;01/01/2023;12:15:00;Brooklyn;Belt Parkway;;4064254;-7387652;Following Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594774;01/01/2023;01:30:00;Manhattan;East 17 Street;;40737534;-7399128;Driver Inattention/Distraction;Passenger Vehicle;1;0;0;0;0;0;1;0
4594350;01/01/2023;03:45:00;Brooklyn;Livingston Street;Smith Street;40690468;-739879;Pedestrian/Bicyclist/Other Pedestrian Error/Confusion;Passenger Vehicle;1;0;1;0;0;0;0;0
4595210;01/01/2023;02:30:00;Bronx;Bruckner Expressway;;40847843;-7382699;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594537;01/01/2023;04:15:00;Queens;Horace Harding Expressway;194 Street;40741848;-7378209;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594547;01/01/2023;05:30:00;Queens;Parsons Boulevard;;40778503;-7382377;Passing or Lane Usage Improper;Passenger Vehicle;0;0;0;0;0;0;0;0
4594564;01/01/2023;05:00:00;Brooklyn;Avenue D;Rockaway Parkway;40649895;-7390762;Passing or Lane Usage Improper;Passenger Vehicle;1;0;0;0;0;0;1;0
4595158;01/01/2023;03:15:00;Queens;Clearview Expressway;;40784435;-7378642;Failure to Yield Right-of-Way;Passenger Vehicle;0;0;0;0;0;0;0;0
4595208;01/01/2023;14:40:00;;Bronx Whitestone Bridge;;;;Unspecified;Passenger Vehicle;3;0;0;0;0;0;3;0
4594442;01/01/2023;09:00:00;Manhattan;West 20 Street;10 Avenue;4074581;-7400554;Alcohol Involvement;Passenger Vehicle;0;0;0;0;0;0;0;0
4594582;01/01/2023;09:00:00;Brooklyn;Erskine Street;;4065393;-7386744;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594835;01/01/2023;15:42:00;Brooklyn;Ralph Avenue;Avenue K;40626457;-73918;Turning Improperly;Passenger Vehicle;0;0;0;0;0;0;0;0
4594496;01/01/2023;07:00:00;Queens;Whitestone Expressway;Vanwyck Expressway;;;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594418;01/01/2023;09:39:00;Bronx;Bogart Avenue;;40850163;-738601;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594576;01/01/2023;18:34:00;Brooklyn;New Utrecht Avenue;65 Street;4062368;-7399772;Pedestrian/Bicyclist/Other Pedestrian Error/Confusion;Passenger Vehicle;1;0;1;0;0;0;0;0
4594570;01/01/2023;14:00:00;Queens;Northern Boulevard;;40765385;-7374389;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594703;01/01/2023;22:36:00;Manhattan;Major Deegan Expressway;;40859444;-73915985;Passing Too Closely;Passenger Vehicle;1;0;0;0;0;0;1;0
4594808;01/01/2023;10:20:00;Manhattan;Macombs Place;West 155 Street;4082803;-73934845;Other Vehicular;Passenger Vehicle;1;0;0;0;0;0;1;0
4594645;01/01/2023;19:26:00;Queens;115 Avenue;Merrick Boulevard;40689915;-737779;Passenger Distraction;Passenger Vehicle;1;0;0;0;0;0;1;0
4594627;01/01/2023;08:40:00;Manhattan;East 65 Street;York Avenue;40762417;-7395699;Following Too Closely;Bicycle;1;0;0;0;1;0;0;0
4594389;01/01/2023;05:10:00;Queens;45 Street;30 Avenue;40762012;-73911;Backing Unsafely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594556;01/01/2023;14:16:00;Queens;College Point Boulevard;Sanford Avenue;40754658;-73833115;Failure to Yield Right-of-Way;Passenger Vehicle;1;0;1;0;0;0;0;0
4594752;01/01/2023;17:00:00;Queens;Kew Garden Road;127 Street;40707447;-738251;Passing or Lane Usage Improper;Passenger Vehicle;0;0;0;0;0;0;0;0
4595104;01/01/2023;06:50:00;Manhattan;Broadway;West 151 Street;4083022;-7394769;;Not Reported;1;0;1;0;0;0;0;0
4595220;01/01/2023;21:40:00;;Triborough Bridge;;;;Passing or Lane Usage Improper;Passenger Vehicle;0;0;0;0;0;0;0;0
4594768;01/01/2023;14:42:00;Staten Island;Buchanan Avenue;;40602623;-74133255;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594946;01/01/2023;04:00:00;Queens;81 Street;;40772556;-7388935;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594720;01/01/2023;06:05:00;Queens;Queens Boulevard;Vandam Street;;;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594591;01/01/2023;01:45:00;Queens;47 Street;28 Avenue;40762856;-7390812;Failure to Yield Right-of-Way;Passenger Vehicle;2;0;0;0;0;0;2;0
4594786;01/01/2023;01:00:00;Bronx;East 178 Street;;4085053;-7390514;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594888;01/01/2023;02:59:00;Queens;73 Avenue;;4072536;-73818405;Driver Inattention/Distraction;Passenger Vehicle;1;0;0;0;0;0;1;0
4595155;01/01/2023;14:15:00;Queens;College Point Boulevard;Roosevelt Avenue;4075829;-7383431;Following Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594924;01/01/2023;09:50:00;Queens;Case Street;Lamont Avenue;40746346;-7387239;Unsafe Speed;Passenger Vehicle;0;0;0;0;0;0;0;0
4594351;01/01/2023;04:55:00;Brooklyn;Gates Avenue;;4068936;-7392315;Passing Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594641;01/01/2023;08:45:00;Queens;Springfield Boulevard;122 Avenue;40687447;-73748856;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594551;01/01/2023;09:23:00;Queens;147 Place;33 Avenue;40768867;-73819214;Following Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594804;01/01/2023;01:18:00;Staten Island;Kissel Avenue;;4063151;-74103874;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594859;01/01/2023;12:05:00;Manhattan;East Houston Street;Columbia Street;40719933;-7397876;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594568;01/01/2023;12:00:00;Queens;Little Neck Parkway;;4076896;-73731186;Unsafe Speed;Passenger Vehicle;0;0;0;0;0;0;0;0
4594587;01/01/2023;05:00:00;Brooklyn;Jamaica Avenue;Bushwick Avenue;4067811;-7389762;Traffic Control Disregarded;Passenger Vehicle;1;0;0;0;0;0;1;0
4594458;01/01/2023;04:30:00;Queens;94 Street;49 Avenue;40741844;-7386975;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594739;01/01/2023;12:20:00;Queens;Loubet Street;69 Avenue;4071423;-7385386;Failure to Yield Right-of-Way;Passenger Vehicle;1;0;1;0;0;0;0;0
4594571;01/01/2023;20:45:00;Brooklyn;5 Avenue;84 Street;4062286;-7402535;Unsafe Speed;Passenger Vehicle;5;0;0;0;0;0;5;0
4594592;01/01/2023;09:40:00;Queens;82 Street;Grand Central Parkway;407672;-73887825;Following Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594438;01/01/2023;03:00:00;Manhattan;Broadway;;40827103;-7394996;Alcohol Involvement;Passenger Vehicle;0;0;0;0;0;0;0;0
4594872;01/01/2023;06:20:00;Brooklyn;Brooklyn Queens Expressway;;40696663;-7398085;Following Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594503;01/01/2023;16:15:00;Manhattan;Suffolk Street;;4072111;-73985016;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594417;01/01/2023;07:25:00;Queens;Queens Boulevard;63 Avenue;4073093;-73864586;Driverless/Runaway Vehicle;Passenger Vehicle;0;0;0;0;0;0;0;0
4594603;01/01/2023;06:00:00;Queens;133 Avenue;114 Street;4067335;-7382582;Passing or Lane Usage Improper;Taxi;0;0;0;0;0;0;0;0
4594561;01/01/2023;00:58:00;Brooklyn;Brooklyn Queens Expressway;;4068892;-7399915;Failure to Keep Right;Passenger Vehicle;0;0;0;0;0;0;0;0
